id,city_id,title,street,address,zip_code,phone,hole,architect,year_built,public_private,guest_policy,credit_card,golf_season,range,rental_club,pro_in_House,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,lng,lat
7039,3335,Otsego Club And Resort,696 M-32 East Main Street,P.O. Box 556,556,,18,William H. Diddle,1955,Public,Open/ Group Rates available,Amex MasterCard Visa  card(s) Welcomed,Open: 4/15  Closed: 10/15,Yes,Yes,Yes,No,$,$,&nbsp;Yes,Yes,,,,,,,,,,,,,,
7671,3612,Heart of the Valley Golf Club,SE Corner of Ada,"Ada, Minnesota 56510",56510,(218) 784-4746,9,,1960,Semi-Private,Open,None,Open: 4/15 Closed: 10/15,No,Yes,Yes,No,$,$,No,Yes,,,,,36,2994,,,37,2560,,,,
7672,3613,Cedar River Country Club,Hwy 56 W,"Adams, Minnesota 55909",55909,(507) 582-3595,18,,1965,Semi-Private,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6298,119,69.30,72,6076,117,68.40,74,5553,119,71.30,,
7673,3614,Adrian Golf Course,Hwy 91 S,"Adrian, Minnesota 56110",56110,(507) 483-2722,9,Drew Demarest,1994,Semi-Private,Open,"VISA, MasterCard Welcomed",Open: 5/01 Closed: 10/01,Yes,No,No,No,$,$,Yes,Yes,36,3345,123,35.80,36,3140,120,35.00,36,2601,115,34.80,,
7674,3615,Albany Golf Club,500 Church St,"Albany, Minnesota 56307",56307,(320) 845-2505,18,Willie Kidd,1960,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6415,122,70.00,72,6023,119,68.20,74,5268,117,69.70,,
7675,3616,Albert Lea Golf Club,1701 Country Club Rd,"Albert Lea, Minnesota 56007",56007,(507) 377-1683,18,,1922,Semi-Private,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,71,5900,,,72,5600,,,,
7676,3616,Green Lea Golf Course,101 E Richway Dr,"Albert Lea, Minnesota 56007",56007,(507) 373-1061,18,,,Public,Open,"VISA, MasterCard Welcomed",year round,No,Yes,Yes,No,$,$,Yes,Yes,72,6166,122,70.20,72,5970,120,69.30,72,5404,126,71.40,,
7677,3617,Alexandria Golf Club,County Rd 42 No,"Alexandria, Minnesota 56308",56308,(320) 763-3605,18,Gerry Pirkl &amp; Donald Brauer,1970,Semi-Private,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,72,6482,129,71.10,73,5205,124,70.10,,
7678,3617,Arrowwood Golf Club,2100 Arrowwood Ln,"Alexandria, Minnesota 56308",56308,(320) 762-8337,18,,1970,Public,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/15 Closed: 10/15,No,Yes,No,No,$,$,Yes,Yes,,,,,70,5336,116,65.80,69,4913,119,69.00,,
7679,3617,Lake Miltona Golf Club,12710 State Hwy 29 No,"Alexandria, Minnesota 56308",56308,(218) 943-2901,9,,1965,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,Yes,No,$,$,Yes,Yes,,,,,36,3096,117,34.80,39,2879,124,36.00,,
7680,3618,Woodland Creek Golf Course,3200 S Coon Creek Dr,"Andover, Minnesota 55304",55304,(612) 323-0517,9,Joel Goldstrand,1989,Public,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,Yes,$,$,Yes,Yes,,,,,36,3053,,,36,2533,,,,
7681,3619,Southbrook Golf & Country Club,511 Morrison Ave,"Annandale, Minnesota 55302",55302,(320) 274-2341,18,Andy Lindquist,1997,Semi-Private,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/01 Closed: 11/01,No,Yes,Yes,No,$,$,Yes,Yes,72,6527,119,70.60,72,6120,116,68.70,72,5137,112,69.10,,
7682,3619,Albion Ridges Golf Course,7771 20th St NW,"Annandale, Minnesota 55302",55302,(320) 963-5500,18,Todd Severud,1991,Public,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,72,6555,129,71.10,72,6190,126,69.40,72,4728,115,67.70,,
7683,3619,Whispering Pines Golf Club,County Rd 6,"Annandale, Minnesota 55302",55302,(320) 274-8721,18,Joel Goldstrand,1985,Public,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,71,6421,131,70.90,71,6134,132,75.20,72,5003,118,68.90,,
7684,3620,Greenhaven Golf Course,2800 Greenhaven Rd,"Anoka, Minnesota 55303",55303,(612) 427-3180,18,,1923,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,No,No,Yes,No,$,$,Yes,Yes,71,6287,121,69.10,71,6069,119,68.20,73,5418,110,71.50,,
7685,3621,Appleton Golf Club,331 E Wyman Ave,"Appleton, Minnesota 56208",56208,(320) 289-2511,9,,1924,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,No,$,$,No,Yes,36,3053,113,69.00,36,2985,111,68.40,36,2564,113,69.00,,
7686,3622,Apple Valley Golf Course,8661 140th St W,"Apple Valley, Minnesota 55124",55124,(612) 432-4647,9,,1960,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,No,$,$,Yes,No,,,,,32,1770,,,32,1770,,,,
