course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
7672,Cedar River Country Club,Adams,Minnesota,Hwy 56 W,55909,-92.71934089999999,43.5653812,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6298,119,69.30,72,6076,117,68.40,74,5553,119,71.30
7673,Adrian Golf Course,Adrian,Minnesota,Hwy 91 S,56110,-95.9331334,43.6349616,9,Semi-Private,Open: 5/01 Closed: 10/01,5,9,36,3345,123,35.80,36,3140,120,35.00,36,2601,115,34.80
7674,Albany Golf Club,Albany,Minnesota,500 Church St,56307,-94.57027599999999,45.62908300000001,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6415,122,70.00,72,6023,119,68.20,74,5268,117,69.70
7676,Green Lea Golf Course,Albert Lea,Minnesota,101 E Richway Dr,56007,-93.3681987,43.66433259999999,18,Public,year round,1,12,72,6166,122,70.20,72,5970,120,69.30,72,5404,126,71.40
7681,Southbrook Golf & Country Club,Annandale,Minnesota,511 Morrison Ave,55302,-94.14596619999999,45.2560424,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6527,119,70.60,72,6120,116,68.70,72,5137,112,69.10
7682,Albion Ridges Golf Course,Annandale,Minnesota,7771 20th St NW,55302,-94.048306,45.180102,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6555,129,71.10,72,6190,126,69.40,72,4728,115,67.70
7683,Whispering Pines Golf Club,Annandale,Minnesota,County Rd 6,55302,-94.0723122,45.2136818,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6421,131,70.90,71,6134,132,75.20,72,5003,118,68.90
7684,Greenhaven Golf Course,Anoka,Minnesota,2800 Greenhaven Rd,55303,-93.39888499999999,45.20907099999999,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6287,121,69.10,71,6069,119,68.20,73,5418,110,71.50
7685,Appleton Golf Club,Appleton,Minnesota,331 E Wyman Ave,56208,-96.01181989999999,45.2065668,9,Public,Open: 4/01 Closed: 11/01,4,10,36,3053,113,69.00,36,2985,111,68.40,36,2564,113,69.00
7687,Valleywood Golf Course,Apple Valley,Minnesota,4851 125th St W,55124,-93.16117,44.771603,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6421,123,70.60,71,6116,121,68.90,72,5144,122,71.50
7688,Island Pine Golf Club,Atwater,Minnesota,1601 Wyoming Ave W,56209,-94.78798689999999,45.133447,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6850,117,71.90,72,6400,111,69.10,72,5300,114,69.00
7690,Austin Country Club,Austin,Minnesota,28th St NE,55912,-92.92993539999999,43.6744018,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6520,127,71.30,72,6326,126,70.40,72,5425,128,71.30
7692,Babbitt Golf Course,Babbitt,Minnesota,2806 Hwy 21,55706,-91.9804108,47.7140659,9,Semi-Private,Open: 5/01 Closed: 10/01,5,9,35,3183,117,34.70,35,3022,114,34.00,36,2824,116,35.70
