course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
6390,Crestview Country Club,Agawam,Massachusetts,Shoemaker Ln,01001,-72.6584404,42.0508369,18,Private,72,6902,128,73.40,72,6695,124,72.30,73,5571,110,66.70
6392,Amherst Golf Club,Amherst,Massachusetts,365 S Pleasant St,01002,-72.52649199999999,42.36304699999999,9,Semi-Private,,,,,35,3055,117,34.30,36,2804,122,35.80
6393,Hickory Ridge Country Club,Amherst,Massachusetts,191 W Pomeroy Ln,01002,-72.528673,42.343113,18,Semi-Private,74,6794,129,72.50,74,6427,128,71.10,74,5340,117,70.40
6405,Mill Valley Country Club,Belchertown,Massachusetts,380 Mill Valley Rd,01007,-72.3729189,42.2578216,9,Semi-Private,,,,,36,2872,110,33.50,36,2191,,
6413,"Blandford Club, The",Blandford,Massachusetts,N St,01008,-72.93387010000001,42.191909,9,Private,,,,,35,2722,110,33.00,35,2437,120,34.00
6445,Chicopee Country Club,Chicopee,Massachusetts,1290 Burnett Rd,01020,-72.519452,42.182502,18,Public,71,6742,126,73.00,71,6109,120,70.40,71,5123,115,72.40
6466,Elmcrest Country Club,East Longmeadow,Massachusetts,105 Somersville Rd,01028,-72.47500939999999,42.0364835,18,Private,70,6347,120,70.20,70,5904,115,68.10,72,5363,119,70.90
6467,Pine Knoll Executive Golf Course,East Longmeadow,Massachusetts,380 Porter Rd,01028,-72.48084,42.0870038,18,Public,,,,,54,1554,,,57,1554,,
6474,Oak Ridge Golf Club,Feeding Hills,Massachusetts,850 S Westfield St,01030,-72.67516719999999,42.0398023,18,Semi-Private,70,6754,124,71.20,70,6390,120,70.00,70,5297,124,70.00
6475,Agawam Country Club,Feeding Hills,Massachusetts,128 S. Wick St,01030,-72.6843566,42.0723533,18,Public,,,,,71,6119,110,67.00,72,5370,110,70.20
6476,St. Anne Country Club,Feeding Hills,Massachusetts,781 Shoemaker Ln,01030,-72.664205,42.05488099999999,18,Public,72,6608,116,70.80,72,6412,115,69.80,72,5565,115,70.00
6485,Dunroamin Country Club,Gilbertville,Massachusetts,262 Lower Rd,01031,-72.18957999999999,42.308391,9,Semi-Private,,,,,35,2863,117,34.30,35,2401,106,33.40
6487,Westover Golf Club,Granby,Massachusetts,S St,01033,-72.52762,42.22972499999999,18,Public,72,7025,131,73.70,72,6610,129,71.70,72,5600,113,72.00
6494,Hampden Country Club,Hampden,Massachusetts,128 Wilbraham Rd,01036,-72.43736489999999,42.0651169,18,Public,72,6833,129,72.50,72,6349,126,70.10,72,5283,113,72.30
6500,Beaver Brook Golf Club,Haydenville,Massachusetts,101 Main St,01039,-72.7100581,42.3814394,9,Public,,,,,36,3150,110,34.10,38,2700,110,33.60
6505,Holyoke Country Club,Holyoke,Massachusetts,Route 5 Smiths Ferry Rd,01040,-72.60393549999999,42.2711706,9,Semi-Private,36,3239,118,34.00,36,3070,118,33.80,38,2680,118,33.20
6506,Wyckoff Country Club,Holyoke,Massachusetts,233 E Hampton Rd,01040,-72.6413518,42.2260332,18,Private,69,5744,117,68.50,69,5273,113,67.40,74,4915,,
6520,Northampton Country Club,Leeds,Massachusetts,135 Main St,01053,-72.69972369999999,42.3470495,9,Semi-Private,,,,,35,3050,113,33.80,37,2777,112,33.60
6532,Ludlow Country Club,Ludlow,Massachusetts,Tony Lema Dr,01056,-72.4613796,42.1613746,18,Private,72,6561,123,70.80,72,6201,120,68.80,72,5712,116,71.70
