course_id,course,city,state,street,zip_code,lng,lat,hole,public_private
6389,Forest Park Country Club,Adams,Massachusetts,Forest Park Ave,01220,-73.12509659999999,42.62107109999999,9,Public
6390,Crestview Country Club,Agawam,Massachusetts,Shoemaker Ln,01001,-72.6584404,42.0508369,18,Private
6391,Amesbury Golf & Country Club,Amesbury,Massachusetts,50 Monroe St,01913,-70.9113012,42.8573828,9,Semi-Private
6392,Amherst Golf Club,Amherst,Massachusetts,365 S Pleasant St,01002,-72.52649199999999,42.36304699999999,9,Semi-Private
6393,Hickory Ridge Country Club,Amherst,Massachusetts,191 W Pomeroy Ln,01002,-72.528673,42.343113,18,Semi-Private
6394,Andover Country Club,Andover,Massachusetts,60 Canterbury St,01810,-71.16687209999999,42.6726857,18,Private
6395,Rolling Green Golf Course,Andover,Massachusetts,311 Lowell St,01810,-71.1856971,42.6494979,9,Public
6396,Indian Ridge Country Club,Andover,Massachusetts,Lovejoy Rd,01810,-71.1765271,42.6401435,18,Private
6397,Edge Hill Golf Course,Ashfield,Massachusetts,Barnes Rd,01330,-72.7830662,42.5545648,9,Public
6398,Ellinwood Country Club,Athol,Massachusetts,1928 Pleasant St,01331,-72.21860149999999,42.56273849999999,18,Semi-Private
6402,Pakachoag Golf Course,Auburn,Massachusetts,15 Upland St,01501,-71.8140516,42.2207618,9,Public
6404,Patriot Golf Course,Bedford,Massachusetts,200 Springs Rd,01730,-71.27558859999999,42.5071946,9,Military
6405,Mill Valley Country Club,Belchertown,Massachusetts,380 Mill Valley Rd,01007,-72.3729189,42.2578216,9,Semi-Private
6409,Berlin Country Club,Berlin,Massachusetts,25 Carr Rd,01503,-71.6289326,42.4068457,9,Public
6410,Crumpin-Fox Club,Bernardston,Massachusetts,Parmenter Rd,01337,-72.5315318,42.6729688,18,Semi-Private
6411,Beverly Golf & Tennis Club,Beverly,Massachusetts,134 McKay St,01915,-70.897938,42.562106,18,Semi-Private
6412,Country Club of Billerica,Billerica,Massachusetts,51 Baldwin Rd,01821,-71.233941,42.5519256,18,Public
6413,"Blandford Club, The",Blandford,Massachusetts,N St,01008,-72.93387010000001,42.191909,9,Private
6414,"International Golf Club, The",Bolton,Massachusetts,159 Ballville Rd,01740,-71.6472184,42.4316082,18,Private
6415,Twin Springs Golf Course,Bolton,Massachusetts,295 Wilder Rd,01740,-71.6449701,42.438832,9,Public
6417,Mt. Pleasant Country Club,Boylston,Massachusetts,369 Cross St,01505,-71.71062680000001,42.3509003,18,Private
6418,Championship at Cyprian Keyes Golf Club,Boylston,Massachusetts,284 E Temple St,01505,-71.720959,42.3382348,18,Public
6419,Par d at Cyprian Keyes Golf Club,Boylston,Massachusetts,284 E Temple St,01505,-71.720959,42.3382348,9,Public
6420,Bradford Country Club,Bradford,Massachusetts,201 Chadwick Rd,01835,-71.0791834,42.7714977,18,Public
6441,Heritage Country Club,Charlton,Massachusetts,Sampson Rd,01507,-72.02077349999999,42.1325741,18,Semi-Private
6444,Chelmsford Country Club,Chelmsford,Massachusetts,66 Park Rd,01824,-71.368822,42.57474850000001,9,Public
6445,Chicopee Country Club,Chicopee,Massachusetts,1290 Burnett Rd,01020,-72.519452,42.182502,18,Public
6446,North Adams Country Club,Clarksburg,Massachusetts,641 River Rd,01247,-73.0759688,42.7204658,9,Semi-Private
6448,Concord Country Club,Concord,Massachusetts,246 Old Nine Acre Corner Rd,01742,-71.37617139999999,42.4292609,18,Private
