course_id,city_id,course,street,address,zip_code,phone,hole,architect,year_built,public_private,guest_policy,credit_card,golf_season,range,rental_club,pro_in_House,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,lng,lat,state_id,city_title,city_count,city_slug,state,state_count,state_slug,c_city,city
2,1,A. J. Jolly Golf Course,5350 S US Hwy 27,"Alexandria, Kentucky 41001",41001,(606) 635-2106,18,,1962,Public,Open,"VISA, MasterCard Welcomed",year round,No,Yes,Yes,Yes,$,$,Yes,Yes,71,6219,118,69.30,71,5942,115,67.60,75,5418,118,70.30,,,1,Albertville,2,albertville,Alabama,272,alabama,Alexandria,Alexandria
3,2,Willow Point Country Club,3054 Willow Point Rd,"Alexander City, Alabama 35010",35010,(256) 234-2572,18,Thomas H. Nicol,1961,Private,Closed,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,7084,137,74.60,72,6631,135,72.20,73,5373,120,70.70,,,1,Alexander City,1,alexandercity,Alabama,272,alabama,Alexander City,Alexander City
4,3,Alpine Bay Resort,9855 Renfroe Rd,"Alpine, Alabama 35014",35014,(256) 268-2920,18,"Robert Trent Jones, Sr.",1972,Resort,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6900,129,70.90,72,6518,126,69.90,72,5518,120,69.80,,,1,Alpine,1,alpine,Alabama,272,alabama,Alpine,Alpine
6,5,Andalusia Country Club,210 Country Club Dr,"Andalusia, Alabama 36420",36420,(334) 222-5282,18,Evans Barnes,1927,Private,Reciprocal,"VISA, MasterCard Accepted",year round,Yes,No,Yes,Yes,$,$,No,Yes,72,6356,126,69.90,72,6151,124,69.00,72,5563,119,71.20,,,1,Andalusia,2,andalusia,Alabama,272,alabama,Andalusia,Andalusia
9,7,Anniston Country Club,601 Highland Ave,"Anniston, Alabama 36207",36207,(256) 237-4615,18,,1909,Private,Closed,None,year round,Yes,Yes,Yes,No,$,$,No,Yes,70,6254,121,70.20,70,5924,118,68.70,72,5086,109,68.50,,,1,Anniston,4,anniston,Alabama,272,alabama,Anniston,Anniston
11,7,Indian Oaks Golf Club,201 Cherokee Trl,"Anniston, Alabama 36206",36206,(256) 820-4030,18,Willard Byrd,1976,Semi-Private,Open,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Included in fee,72,6549,125,71.40,72,6015,118,67.00,72,5029,106,68.00,,,1,Anniston,4,anniston,Alabama,272,alabama,Anniston,Anniston
14,8,Twin Lakes Golf Club,211 Golfview Dr NE,"Arab, Alabama 35016",35016,(256) 586-3269,18,Harry Weaver,1963,Public,Open,"VISA, MasterCard Accepted",year round,No,Yes,No,Yes,$,$,Yes,Included in fee,72,6711,130,70.90,72,6335,116,69.80,73,5609,114,67.40,,,1,Arab,2,arab,Alabama,272,alabama,Arab,Arab
18,10,Southern Gales Golf Club,22045 Mooresville Rd,"Athens, Alabama 35613",35613,(256) 232-9888,18,F. Romine & G. Romine,1995,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,6757,116,71.80,72,6339,113,69.70,72,5088,113,70.00,,,1,Athens,4,athens,Alabama,272,alabama,Athens,Athens
22,12,Wills Creek Country Club,216 Country Club Rd,"Attalla, Alabama 35954",35954,(256) 538-8781,18,,1965,Semi-Private,Open,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,70,6502,106,66.60,70,6322,105,66.30,70,4751,104,67.40,,,1,Attalla,1,attalla,Alabama,272,alabama,Attalla,Attalla
23,13,Auburn Links at Mill Creek,826 Shelltoomer Pkwy,"Auburn, Alabama 36831",36831,,18,Ward Northrup,1992,Public,Open,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,7145,129,72.50,72,6805,126,71.20,72,5320,112,64.30,,,1,Auburn,3,auburn,Alabama,272,alabama,Auburn,Auburn
24,13,Indian Pines Recreational Authority,900 Country Club Ln,"Auburn, Alabama 36830",36830,(334) 821-0880,18,,1958,Public,Open,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,71,6213,119,68.80,71,5793,115,67.10,71,4751,105,62.10,,,1,Auburn,3,auburn,Alabama,272,alabama,Auburn,Auburn
27,15,Brook/Graveyard at Bent Brook Golf Course,7900 Dickey Springs Rd,"Bessemer, Alabama 35022",35022,(205) 424-2368,18,Ward Northrup,1988,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,70,7053,123,72.50,70,6132,119,70.60,70,5364,115,68.80,,,1,Bessemer,5,bessemer,Alabama,272,alabama,Bessemer,Bessemer
28,15,Graveyard/Windmill at Bent Brook Golf Course,7900 Dickey Springs Rd,"Bessemer, Alabama 35022",35022,(205) 424-2368,18,Ward Northrup,1988,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,70,6847,122,71.90,70,6380,118,70.00,70,5321,115,68.30,,,1,Bessemer,5,bessemer,Alabama,272,alabama,Bessemer,Bessemer
29,15,Windmill/Brook at Bent Brook Golf Course,7900 Dickey Springs Rd,"Bessemer, Alabama 35022",35022,(205) 424-2368,18,Ward Northrup,1988,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,70,6934,119,71.80,70,6491,116,70.10,70,5333,112,68.40,,,1,Bessemer,5,bessemer,Alabama,272,alabama,Bessemer,Bessemer
30,15,Frank House Municipal Golf Course,801 Golf Course Rd,"Bessemer, Alabama 35022",35022,(205) 424-9540,18,Earl Stone,1972,Public,Open,"VISA, MasterCard, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,No,Yes,72,6346,119,69.00,72,5857,115,67.30,75,4926,107,63.30,,,1,Bessemer,5,bessemer,Alabama,272,alabama,Bessemer,Bessemer
31,15,Woodward Golf Club,2141 Wheel Dr,"Bessemer, Alabama 35020",35020,(205) 424-5500,18,Charles Hall,1916,Private,Closed,None,year round,Yes,No,Yes,No,$,$,Yes,Yes,71,6430,124,69.40,71,6041,121,68.00,71,5180,122,70.20,,,1,Bessemer,5,bessemer,Alabama,272,alabama,Bessemer,Bessemer
32,16,Valley at Oxmoor Valley Golf Course,100 Sunbelt Pkwy,"Birmingham, Alabama 35211",35211,,18,"Robert Trent Jones, Sr.",1992,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,7292,135,73.90,72,6631,129,70.80,72,4899,122,69.40,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
33,16,East at Country Club of Birmingham,1 New Country Club Rd,"Birmingham, Alabama 35213",35213,(205) 879-4611,18,Donald Ross,1927,Private,Closed,None,year round,Yes,Yes,Yes,No,$,$,Yes,Yes,70,6421,126,71.10,70,6016,122,69.20,71,5607,118,67.40,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
36,16,Ridge at Oxmoor Valley Golf Course,100 Sunbelt Pkwy,"Birmingham, Alabama 35211",35211,,18,"Robert Trent Jones, Sr.",1992,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,7055,140,73.50,72,6527,136,71.60,72,4974,122,69.10,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
37,16,Highland Park Golf Course,3300 Highland Ave S,"Birmingham, Alabama 35205",35205,,18,Bob Cupp,1998,Public,Open,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,70,5801,128,68.10,70,5368,123,66.10,70,4793,114,63.80,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
38,16,Altadena Valley Country Club,2651 Alta Vista Dr,"Birmingham, Alabama 35243",35243,(205) 967-5324,18,Wally Nall,1940,Private,Closed,None,year round,Yes,No,Yes,No,$,$,No,Yes,71,6045,121,68.10,71,5660,117,66.30,71,5122,115,68.00,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
39,16,Chace Lake Country Club,1850 Montgomery Hwy S,"Birmingham, Alabama 35244",35244,(205) 988-5219,18,Bancroft Timmons,1966,Private,Closed,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,No,$,$,No,Yes,71,6791,137,73.50,71,6575,136,72.20,71,5209,118,71.60,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
40,16,Eagle Point Golf Club,4500 Eagle Point Dr,"Birmingham, Alabama 35242",35242,(205) 991-9070,18,Earl Stone,1990,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,71,6470,127,70.20,71,5868,121,67.40,70,4691,108,61.90,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
41,16,Grayson Valley Country Club,2201 Grayson Valley Dr,"Birmingham, Alabama 35235",35235,(205) 854-2382,18,Harold Williams,1976,Private,Reciprocal,"VISA, MasterCard, Amex Accepted",year round,Yes,No,Yes,No,$,$,Yes,Yes,72,6516,123,71.40,72,6057,120,69.40,72,5321,122,71.50,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
42,16,Greystone Golf & Country Club,4100 GreyStone Dr,"Birmingham, Alabama 35242",35242,(205) 980-5200,18,Bob Cupp,1992,Private,Closed,None,year round,Yes,Yes,Yes,No,$$,$$,Yes,Yes,72,7297,134,74.90,72,6830,127,72.50,72,5384,122,71.70,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
43,16,Heatherwood Golf Club,400 Saint Annes Dr,"Birmingham, Alabama 35244",35244,(205) 991-7474,18,Arthur Davis,1986,Private,Reciprocal,None,year round,Yes,Yes,Yes,No,$,$,Yes,Yes,70,6095,137,70.60,70,5665,131,68.40,70,4877,123,69.00,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
44,16,Inverness Country Club,1 Country Club Dr,"Birmingham, Alabama 35242",35242,(205) 991-8608,18,George Cobb,1973,Private,Closed,None,year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,71,6613,127,70.80,71,6061,122,68.40,71,5284,123,71.20,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
45,16,Mountain Brook Club,19 Beachwood Rd,"Birmingham, Alabama 35213",35213,(205) 871-2116,18,Donald Ross,1929,Private,Closed,None,year round,Yes,No,Yes,No,$,$,No,Yes,71,6473,124,71.50,71,6101,121,69.90,72,5119,119,70.60,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
46,16,Pine Tree Country Club,5100 Pine Whispers Dr,"Birmingham, Alabama 35210",35210,(205) 956-1555,18,George Cobb,1969,Private,Reciprocal,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,Yes,$,$$,Yes,Yes,72,6931,131,72.90,72,6582,129,71.90,72,5355,115,68.10,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
47,16,Riverchase Country Club,2000 Club Rd,"Birmingham, Alabama 35244",35244,(205) 988-8111,18,Joe Lee,1975,Private,Reciprocal,"VISA, MasterCard, Discover Accepted",year round,Yes,Yes,Yes,No,$$,$$,Yes,Yes,72,6756,137,73.20,72,6314,134,71.30,72,5356,129,71.10,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
49,16,Vestavia Country Club,400 Beaumont Dr,"Birmingham, Alabama 35216",35216,(205) 822-8300,18,,1950,Private,Closed,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6484,128,70.20,72,6132,125,68.60,72,5301,124,71.80,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
50,16,Hoover Country Club,3140,"Birmingham, Alabama 35236",35236,(205) 822-5707,18,,,Private,Reciprocal,None,year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6816,137,72.80,72,6558,135,71.50,72,5395,122,71.21,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
